"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Femin";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"150440 Marapanim";-;-;-;2
"150442 Marituba";4;4;7;5
"150445 Medicilândia";1;1;1;-
"150460 Mocajuba";-;1;-;-
"150470 Moju";-;-;-;4
"150490 Muaná";-;-;-;1
"150495 Nova Esperança do Piriá";-;2;2;6
"150500 Nova Timboteua";2;-;-;2
"150503 Novo Progresso";-;-;-;12
"150510 Óbidos";-;-;-;4
"150520 Oeiras do Pará";-;-;-;1
"150530 Oriximiná";-;-;-;1
"150540 Ourém";-;-;-;3
"150543 Ourilândia do Norte";1;3;3;11
"150548 Pacajá";-;-;-;5
"150549 Palestina do Pará";-;-;-;5
"150550 Paragominas";3;4;4;17
"150553 Parauapebas";10;6;6;11
"150560 Peixe-Boi";-;-;-;4
"150563 Piçarra";1;2;2;7
"150565 Placas";-;-;-;1
"150570 Ponta de Pedras";4;5;4;-
"150590 Porto de Moz";-;-;-;2
"150600 Prainha";-;-;-;1
"150611 Quatipuru";-;-;-;12
"150613 Redenção";6;1;1;18
"150616 Rio Maria";-;-;-;1
"150618 Rondon do Pará";-;-;-;4
"150619 Rurópolis";-;-;-;4
"150620 Salinópolis";-;-;-;31
"150650 Santa Izabel do Pará";2;2;2;6
"150655 Santa Luzia do Pará";3;3;3;-
"150670 Santana do Araguaia";-;-;-;1
"150680 Santarém";6;1;1;13
"150690 Santarém Novo";-;-;-;5
"150715 São Domingos do Araguaia";-;-;-;2
"150720 São Domingos do Capim";-;-;-;2
"150730 São Félix do Xingu";5;4;-;43
"150740 São Francisco do Pará";-;-;-;2
"150745 São Geraldo do Araguaia";-;-;-;5
"150746 São João da Ponta";2;2;2;-
"150747 São João de Pirabas";-;-;-;3
"150750 São João do Araguaia";-;-;-;2
"150760 São Miguel do Guamá";-;-;-;7
"150770 São Sebastião da Boa Vista";-;2;2;-
"150775 Sapucaia";-;-;-;5
"150780 Senador José Porfírio";-;-;-;2
"150795 Tailândia";-;1;1;1
"150796 Terra Alta";-;2;3;-
"150800 Tomé-Açu";-;-;-;13
"150803 Tracuateua";-;-;-;5
"150805 Trairão";-;-;-;1
"150808 Tucumã";12;9;6;6
"150810 Tucuruí";-;-;-;38
"150812 Ulianópolis";3;-;-;3
"150830 Viseu";-;-;-;6
"150835 Vitória do Xingu";-;-;-;7
"150840 Xinguara";5;-;-;14
"160010 Amapá";-;-;-;2
"160020 Calçoene";5;4;9;5
"160025 Itaubal";4;-;-;10
"160030 Macapá";7;13;8;46
"160040 Mazagão";1;-;-;5
"160050 Oiapoque";2;6;4;9
"160015 Pedra Branca do Amapari";-;-;-;2
"160053 Porto Grande";4;3;3;3
"160055 Pracuúba";-;-;-;10
"160060 Santana";2;-;-;12
"160005 Serra do Navio";-;-;-;7
"160080 Vitória do Jari";-;-;-;3
"170025 Abreulândia";-;-;-;5
"170035 Aliança do Tocantins";8;9;2;-
"170070 Alvorada";-;-;-;2
"170110 Aparecida do Rio Negro";-;6;6;-
"170130 Aragominas";-;-;-;6
"170190 Araguacema";3;1;1;-
"170200 Araguaçu";-;-;-;4
"170210 Araguaína";-;6;4;32
"170215 Araguanã";-;3;3;-
"170220 Araguatins";-;-;-;2
"170290 Axixá do Tocantins";-;5;5;-
"170300 Babaçulândia";-;4;3;-
"170320 Bernardo Sayão";-;-;-;2
"170360 Brasilândia do Tocantins";3;3;3;-
"170380 Buriti do Tocantins";-;-;-;8
"170384 Campos Lindos";-;-;-;5
"170386 Cariri do Tocantins";-;-;5;1
"170388 Carmolândia";-;-;-;3
"170390 Caseara";-;4;4;-
"170410 Centenário";-;-;-;3
"170460 Chapada de Areia";-;-;-;3
"170550 Colinas do Tocantins";-;1;1;-
"170560 Conceição do Tocantins";-;5;5;-
"170600 Couto Magalhães";-;3;3;-
"170625 Crixás do Tocantins";-;3;2;-
"170650 Darcinópolis";-;-;-;3
"170740 Esperantina";-;6;4;-
"170770 Filadélfia";3;-;-;-
"170820 Formoso do Araguaia";-;-;-;8
"170825 Fortaleza do Tabocão";-;3;3;-
"170930 Guaraí";4;4;4;-
"170950 Gurupi";6;-;-;11
"171050 Itacajá";3;4;4;3
"171070 Itaguatins";-;-;-;3
"171090 Itapiratins";-;2;2;-
"171150 Jaú do Tocantins";-;-;-;4
"171195 Lagoa do Tocantins";-;4;4;-
"171200 Lajeado";-;-;-;2
"171215 Lavandeira";-;3;3;-
"171240 Lizarda";-;7;6;-
"171245 Luzinópolis";-;-;-;3
"171270 Mateiros";-;-;-;3
"171280 Maurilândia do Tocantins";-;-;-;6
"171360 Monte do Carmo";2;4;4;-
"171370 Monte Santo do Tocantins";-;-;-;2
"171395 Muricilândia";-;4;4;-
"171430 Nazaré";-;-;-;10
"171510 Novo Acordo";-;8;6;-
"172100 Palmas";17;1;1;80
"171380 Palmeiras do Tocantins";-;-;-;2
"171575 Palmeirópolis";-;-;-;13
"171620 Paranã";-;-;-;1
"171630 Pau D'Arco";-;-;-;1
"171660 Peixe";-;-;-;6
"171720 Piraquê";3;7;7;-
"171750 Pium";8;6;6;-
"171800 Porto Alegre do Tocantins";-;3;2;-
"171850 Recursolândia";-;-;-;3
"171888 Santa Maria do Tocantins";-;-;-;2
"171889 Santa Rita do Tocantins";-;-;-;1
"171890 Santa Rosa do Tocantins";2;3;1;-
"171900 Santa Tereza do Tocantins";-;-;-;4
"172025 São Salvador do Tocantins";-;-;-;8
"172030 São Sebastião do Tocantins";-;4;5;-
"172065 Silvanópolis";3;4;5;-
"172093 Taipas do Tocantins";-;-;-;3
"172097 Talismã";-;-;-;2
"172110 Tocantínia";2;2;3;2
"172120 Tocantinópolis";-;-;-;10
"172208 Wanderlândia";-;-;-;4
"210005 Açailândia";7;6;4;19
"210030 Aldeias Altas";-;-;-;2
"210040 Altamira do Maranhão";-;3;3;4
"210043 Alto Alegre do Maranhão";-;-;-;5
"210047 Alto Alegre do Pindaré";-;-;-;5
"210050 Alto Parnaíba";5;6;6;-
"210055 Amapá do Maranhão";-;3;2;-
"210060 Amarante do Maranhão";-;2;2;7
"210080 Anapurus";-;-;-;1
"210087 Araguanã";-;-;-;18
"210095 Arame";10;6;6;-
"210100 Arari";-;-;-;2
"210110 Axixá";6;6;5;-
"210120 Bacabal";20;20;2;7
"210125 Bacabeira";2;2;2;3
"210135 Bacurituba";-;-;-;2
"210140 Balsas";2;1;1;16
"210150 Barão de Grajaú";-;1;1;-
"210160 Barra do Corda";20;20;-;7
"210173 Belágua";-;-;-;5
"210190 Bequimão";-;-;-;3
"210197 Boa Vista do Gurupi";-;-;-;15
"210200 Bom Jardim";-;-;-;19
"210203 Bom Jesus das Selvas";-;-;-;3
"210210 Brejo";-;-;-;2
"210215 Brejo de Areia";-;-;-;6
"210232 Buriticupu";1;1;1;21
"210237 Cachoeira Grande";-;-;-;1
"210240 Cajapió";1;-;-;-
"210260 Cândido Mendes";2;6;2;4
"210275 Capinzal do Norte";-;-;-;2
"210300 Caxias";6;11;9;4
"210315 Centro do Guilherme";-;-;-;1
"210317 Centro Novo do Maranhão";-;-;-;31
"210320 Chapadinha";-;-;-;4
"210325 Cidelândia";-;-;-;1
"210330 Codó";-;-;-;15
"210340 Coelho Neto";-;3;3;9
"210350 Colinas";7;3;1;14
"210370 Cururupu";-;-;-;2
"210375 Davinópolis";-;-;-;2
"210380 Dom Pedro";-;-;-;2
"210407 Feira Nova do Maranhão";5;5;5;-
"210409 Formosa da Serra Negra";-;-;-;1
"210420 Fortuna";12;4;4;-
"210450 Governador Archer";-;-;-;6
"210467 Governador Nunes Freire";-;-;-;2
"210480 Grajaú";26;5;5;11
"210530 Imperatriz";3;7;7;20
"210540 Itapecuru Mirim";-;-;-;7
"210542 Itinga do Maranhão";-;-;-;2
"210545 Jatobá";-;-;-;3
"210547 Jenipapo dos Vieiras";-;3;-;-
"210550 João Lisboa";-;3;3;-
"210565 Junco do Maranhão";-;-;-;11
"210570 Lago da Pedra";1;1;-;4
"210580 Lago do Junco";-;-;-;3
"210592 Lagoa do Mato";-;-;-;3
"210598 Lajeado Novo";-;-;-;4
"210610 Loreto";1;1;1;-
"210630 Magalhães de Almeida";-;-;-;2
"210637 Maranhãozinho";-;2;2;6
"210640 Mata Roma";-;-;-;9
"210660 Matões";-;-;-;12
"210663 Matões do Norte";-;-;-;4
"210667 Milagres do Maranhão";-;-;-;2
"210675 Miranda do Norte";-;-;-;2
"210680 Mirinzal";-;-;-;3
"210690 Monção";-;-;-;1
"210745 Olinda Nova do Maranhão";2;1;1;-
"210750 Paço do Lumiar";-;-;-;1
"210760 Palmeirândia";-;-;-;2
"210770 Paraibano";-;-;-;1
"210780 Parnarama";1;-;-;3
"210800 Pastos Bons";-;-;-;3
"210805 Paulino Neves";-;9;9;2
"210820 Pedreiras";-;2;2;3
"210830 Penalva";-;-;-;2
"210850 Pindaré-Mirim";-;-;-;4
"210860 Pinheiro";6;3;2;4
"210890 Poção de Pedras";-;-;-;7
"210905 Porto Rico do Maranhão";3;6;5;-
"210910 Presidente Dutra";-;2;2;-
"210923 Presidente Médici";2;4;4;-
"210945 Raposa";-;-;-;1
"210950 Riachão";-;2;2;-
"210980 Santa Helena";-;-;-;1
"210990 Santa Inês";-;-;-;14
"211010 Santa Quitéria do Maranhão";-;-;-;1
"211020 Santa Rita";-;3;3;6
"211027 Santo Amaro do Maranhão";-;-;-;1
"211030 Santo Antônio dos Lopes";-;-;-;2
"211040 São Benedito do Rio Preto";3;4;4;4
"211050 São Bento";-;8;8;3
"211060 São Bernardo";-;-;-;5
"211065 São Domingos do Azeitão";-;1;1;-
"211080 São Félix de Balsas";-;3;-;2
"211085 São Francisco do Brejão";-;-;-;1
"211102 São João do Carú";2;1;1;-
"211130 São Luís";24;13;14;78
"211150 São Mateus do Maranhão";-;-;-;2
"211167 São Roberto";-;-;-;4
"211170 São Vicente Ferrer";-;-;-;2
"211174 Senador Alexandre Costa";-;-;-;3
"211176 Senador La Rocque";-;-;-;7
"211180 Sítio Novo";-;-;-;5
"211210 Timbiras";-;-;-;2
"211220 Timon";-;1;1;1
"211227 Tufilândia";-;2;2;1
"211230 Tuntum";-;-;-;1
"211240 Turiaçu";-;-;-;1
"211245 Turilândia";1;3;3;19
"211260 Urbano Santos";6;1;1;-
"211270 Vargem Grande";-;-;-;1
"211280 Viana";-;-;-;8
"211285 Vila Nova dos Martírios";1;1;1;-
"211290 Vitória do Mearim";-;-;-;2
"211400 Zé Doca";-;-;-;3
"220005 Acauã";-;-;3;7
"220010 Agricolândia";-;-;-;3
"220025 Alagoinha do Piauí";-;-;-;1
"220040 Altos";-;-;-;3
"220060 Angical do Piauí";-;-;-;2
"220070 Anísio de Abreu";-;-;-;1
"220080 Antônio Almeida";-;-;-;2
"220100 Arraial";-;2;2;2
"220110 Avelino Lopes";-;1;1;6
"220115 Baixa Grande do Ribeiro";-;-;-;3
"220117 Barra D'Alcântara";-;-;-;2
"220120 Barras";-;5;5;3
"220130 Barreiras do Piauí";-;-;-;2
"220140 Barro Duro";-;-;-;1
"220150 Batalha";-;-;-;2
"220160 Beneditinos";-;-;-;1
"220173 Betânia do Piauí";-;-;-;1
"220177 Boa Hora";-;-;-;4
"220180 Bocaina";-;-;-;1
"220190 Bom Jesus";1;2;2;9
"220192 Bonfim do Piauí";-;-;-;1
"220194 Boqueirão do Piauí";1;-;-;2
"220196 Brasileira";-;-;-;2
"220200 Buriti dos Lopes";-;-;-;6
"220205 Cabeceiras do Piauí";-;-;-;2
"220208 Cajueiro da Praia";-;-;-;4
"220220 Campo Maior";3;4;9;14
"220225 Canavieira";-;-;-;4
"220230 Canto do Buriti";-;-;-;2
"220240 Capitão de Campos";-;-;-;1
"220245 Capitão Gervásio Oliveira";-;-;-;3
"220260 Castelo do Piauí";-;-;-;4
"220271 Cocal de Telha";-;3;2;-
"220273 Coivaras";-;-;-;3
"220275 Colônia do Gurguéia";-;-;-;1
"220290 Corrente";-;-;-;2
"220300 Cristalândia do Piauí";-;-;-;4
"220310 Cristino Castro";-;1;-;-
"220320 Curimatá";-;-;-;2
"220330 Demerval Lobão";-;-;-;5
"220335 Dirceu Arcoverde";-;-;-;1
"220345 Dom Inocêncio";-;-;-;2
"220360 Eliseu Martins";-;-;-;1
"220370 Esperantina";-;-;-;11
"220380 Flores do Piauí";-;-;-;2
"220385 Floresta do Piauí";-;-;-;4
"220390 Floriano";-;-;-;4
"220400 Francinópolis";3;3;3;-
"220420 Francisco Santos";-;-;-;2
"220430 Fronteiras";-;-;-;3
"220450 Guadalupe";-;-;-;5
"220470 Inhuma";-;-;-;2
"220500 Itainópolis";-;-;-;2
"220510 Itaueira";-;-;-;4
"220515 Jacobina do Piauí";-;3;3;-
"220520 Jaicós";-;-;-;2
"220525 Jardim do Mulato";-;-;-;4
"220530 Jerumenha";1;-;-;2
"220540 Joaquim Pires";-;-;-;3
"220550 José de Freitas";-;-;-;5
"220553 Jurema";-;-;-;1
"220556 Lagoa do Barro do Piauí";-;2;2;3
"220558 Lagoa do Piauí";-;-;-;2
"220559 Lagoa do Sítio";-;2;2;-
"220570 Luís Correia";-;-;-;4
"220580 Luzilândia";-;-;-;6
"220585 Madeiro";-;1;1;-
"220595 Marcolândia";-;-;-;3
"220620 Miguel Alves";-;-;-;3
"220635 Milton Brandão";-;-;1;1
"220640 Monsenhor Gil";-;-;-;3
"220650 Monsenhor Hipólito";-;-;-;2
"220660 Monte Alegre do Piauí";-;-;-;4
"220795 Nova Santa Rita";-;-;-;1
"220700 Oeiras";-;-;-;8
"220720 Padre Marcos";-;-;-;1
"220735 Pajeú do Piauí";-;-;-;1
"220750 Palmeirais";-;-;-;2
"220760 Parnaguá";-;-;-;1
"220770 Parnaíba";2;8;8;70
"220777 Patos do Piauí";-;-;-;15
"220780 Paulistana";-;-;-;2
"220785 Pavussu";-;-;-;4
"220790 Pedro II";-;6;4;4
"220793 Pedro Laurentino";-;-;-;2
"220800 Picos";1;3;3;25
"220850 Porto";-;-;-;1
"220855 Porto Alegre do Piauí";-;-;-;1
"220860 Prata do Piauí";4;3;3;1
"220865 Queimada Nova";-;-;-;1
"220870 Redenção do Gurguéia";-;-;-;1
"220880 Regeneração";-;-;-;2
"220890 Ribeiro Gonçalves";-;-;-;1
"220900 Rio Grande do Piauí";-;-;-;3
"220910 Santa Cruz do Piauí";-;-;-;3
"220930 Santa Luz";-;2;2;-
"220937 Santa Rosa do Piauí";-;-;-;2
"220940 Santo Antônio de Lisboa";-;2;2;-
"220970 São Francisco do Piauí";-;-;-;1
"220990 São João da Serra";-;-;-;2
"220997 São João do Arraial";2;2;2;-
"221000 São João do Piauí";-;-;-;2
"221005 São José do Divino";-;-;-;5
"221020 São José do Piauí";-;-;-;1
"221030 São Julião";-;-;-;1
"221050 São Pedro do Piauí";-;-;-;4
"221060 São Raimundo Nonato";10;36;18;29
"221063 Sebastião Leal";-;2;2;6
"221093 Sussuapara";-;-;-;4
"221095 Tamboril do Piauí";-;-;-;2
"221100 Teresina";7;14;26;44
"221110 União";-;-;-;8
"221130 Valença do Piauí";-;-;-;2
"230015 Acarape";-;-;-;6
"230020 Acaraú";-;-;-;2
"230030 Acopiara";-;-;-;1
"230050 Alcântaras";-;-;-;6
"230060 Altaneira";-;-;-;1
"230070 Alto Santo";7;10;10;-
"230075 Amontada";-;-;-;1
"230080 Antonina do Norte";-;2;2;-
"230100 Aquiraz";-;25;56;2
"230110 Aracati";-;1;1;-
"230120 Aracoiaba";-;4;4;-
"230125 Ararendá";-;-;-;1
"230130 Araripe";-;-;-;5
"230140 Aratuba";2;-;-;8
"230170 Aurora";4;4;4;-
"230185 Banabuiú";-;-;-;3
"230190 Barbalha";1;5;6;12
"230195 Barreira";4;4;8;1
"230200 Barro";1;3;3;-
"230205 Barroquinha";4;8;2;-
"230210 Baturité";-;-;-;3
"230220 Beberibe";2;2;-;19
"230230 Bela Cruz";-;-;-;1
"230240 Boa Viagem";-;2;-;-
"230250 Brejo Santo";2;-;-;1
"230260 Camocim";-;4;5;13
"230270 Campos Sales";-;4;4;2
"230280 Canindé";1;3;1;6
"230290 Capistrano";-;1;1;3
"230300 Caridade";-;-;-;4
"230320 Caririaçu";-;-;-;5
"230330 Cariús";-;-;-;2
"230350 Cascavel";-;-;-;17
"230360 Catarina";-;-;-;2
"230370 Caucaia";2;1;11;10
"230380 Cedro";-;4;4;1
"230390 Chaval";2;2;2;-
"230393 Choró";2;-;-;-
"230400 Coreaú";-;4;-;-
"230410 Crateús";3;5;3;12
"230420 Crato";-;5;4;18
"230423 Croatá";-;-;-;1
"230425 Cruz";-;-;-;2
"230426 Deputado Irapuan Pinheiro";-;-;-;7
"230428 Eusébio";-;5;25;6
"230430 Farias Brito";-;2;2;-
"230440 Fortaleza";69;84;114;308
"230445 Fortim";-;4;4;-
"230450 Frecheirinha";-;2;2;-
"230460 General Sampaio";3;3;3;-
"230470 Granja";-;-;-;1
"230480 Granjeiro";5;5;4;-
"230495 Guaiúba";-;-;-;6
"230500 Guaraciaba do Norte";-;-;-;2
"230510 Guaramiranga";-;-;-;2
"230520 Hidrolândia";-;2;2;-
"230523 Horizonte";5;3;3;11
"230530 Ibiapina";-;-;-;10
"230533 Ibicuitinga";-;4;4;2
"230540 Icó";-;1;1;6
"230550 Iguatu";2;1;-;20
"230560 Independência";-;-;-;4
"230570 Ipaumirim";-;-;-;4
"230580 Ipu";-;2;2;2
"230600 Iracema";-;-;-;2
"230610 Irauçuba";-;-;-;1
"230625 Itaitinga";-;-;22;6
"230630 Itapagé";-;-;-;1
"230640 Itapipoca";1;-;-;8
"230650 Itapiúna";-;-;-;5
"230660 Itatira";3;2;2;3
"230670 Jaguaretama";-;2;-;-
"230690 Jaguaribe";-;-;-;7
"230700 Jaguaruana";-;-;-;4
"230710 Jardim";-;-;-;4
"230725 Jijoca de Jericoacoara";6;3;3;5
"230730 Juazeiro do Norte";35;4;4;60
"230740 Jucás";3;6;3;-
"230750 Lavras da Mangabeira";2;2;2;2
"230760 Limoeiro do Norte";-;2;-;4
"230765 Maracanaú";4;8;8;4
"230770 Maranguape";5;5;1;9
"230780 Marco";-;-;-;2
"230800 Massapê";2;3;2;-
"230820 Meruoca";-;2;-;1
"230830 Milagres";-;-;2;2
"230835 Milhã";-;-;-;1
"230840 Missão Velha";1;-;-;-
"230850 Mombaça";-;-;-;5
"230870 Morada Nova";-;-;-;4
"230880 Moraújo";-;-;-;1
"230890 Morrinhos";-;-;-;2
"230900 Mucambo";2;2;2;-
"230910 Mulungu";-;-;-;2
"230920 Nova Olinda";-;-;-;1
"230930 Nova Russas";-;-;-;2
"230945 Ocara";-;-;-;6
"230950 Orós";-;1;-;3
"230960 Pacajus";-;-;-;3
"230970 Pacatuba";-;-;-;1
"230990 Pacujá";-;2;2;-
"231000 Palhano";-;-;-;2
"231010 Palmácia";-;-;-;1
"231020 Paracuru";5;3;3;-
"231030 Parambu";6;14;10;11
"231040 Paramoti";3;-;3;-
"231050 Pedra Branca";-;5;-;13
"231060 Penaforte";4;4;1;4
"231070 Pentecoste";2;2;2;4
"231085 Pindoretama";-;-;-;1
"231090 Piquet Carneiro";-;10;8;4
"231095 Pires Ferreira";-;2;2;6
"231110 Porteiras";-;-;-;1
"231120 Potengi";3;2;4;4
"231130 Quixadá";-;15;14;1
"231135 Quixelô";-;-;-;3
"231140 Quixeramobim";5;2;2;8
"231160 Redenção";-;16;30;1
"231180 Russas";1;1;-;2
"231190 Saboeiro";-;2;2;-
"231195 Salitre";4;-;-;-
"231220 Santa Quitéria";-;-;-;9
"231200 Santana do Acaraú";-;-;-;14
"231230 São Benedito";3;-;-;14
"231240 São Gonçalo do Amarante";1;4;6;4
"231270 Senador Pompeu";-;-;-;7
"231280 Senador Sá";2;3;2;3
"231290 Sobral";-;17;6;73
"231300 Solonópole";4;3;3;-
"231310 Tabuleiro do Norte";1;-;-;6
"231320 Tamboril";-;-;-;5
"231330 Tauá";5;3;3;8
"231340 Tianguá";-;-;-;9
"231350 Trairi";-;-;2;-
"231360 Ubajara";-;2;2;-
"231375 Umirim";-;-;-;1
"231390 Uruoca";1;-;-;2
"231400 Várzea Alegre";6;7;7;-
"240020 Açu";-;-;-;8
"240030 Afonso Bezerra";2;2;2;-
"240040 Água Nova";-;-;-;2
"240070 Alto do Rodrigues";-;-;-;3
"240110 Areia Branca";-;-;-;1
"240120 Arês";-;-;-;5
"240145 Baraúna";1;1;1;2
"240150 Barcelona";-;-;-;5
"240160 Bento Fernandes";5;5;5;-
"240165 Bodó";8;4;4;-
"240185 Caiçara do Norte";-;-;-;2
"240190 Caiçara do Rio do Vento";-;3;3;-
"240200 Caicó";3;2;2;3
"240210 Campo Redondo";-;-;-;5
"240230 Caraúbas";1;1;1;2
"240240 Carnaúba dos Dantas";5;3;3;2
"240260 Ceará-Mirim";-;-;-;1
"240310 Currais Novos";3;3;4;1
"240320 Doutor Severiano";-;-;-;3
"240330 Encanto";-;-;-;1
"240340 Equador";-;-;-;2
"240350 Espírito Santo";-;-;-;2
"240360 Extremoz";-;-;-;3
"240370 Felipe Guerra";-;-;-;1
"240380 Florânia";-;-;-;1
"240400 Frutuoso Gomes";1;1;1;1
"240420 Goianinha";6;6;6;7
"240460 Ielmo Marinho";-;1;-;14
"240470 Ipanguaçu";-;-;-;2
"240480 Ipueira";-;-;-;5
"240490 Itaú";-;-;-;1
"240530 Januário Cicco";2;2;2;-
"240550 Jardim de Angicos";-;1;1;-
"240560 Jardim de Piranhas";-;-;-;1
"240570 Jardim do Seridó";6;10;10;4
"240580 João Câmara";-;-;-;1
"240590 João Dias";2;4;4;-
"240615 Jundiá";-;-;-;1
"240620 Lagoa d'Anta";-;-;-;2
"240630 Lagoa de Pedras";4;5;4;-
"240670 Lajes";5;6;6;1
"240690 Lucrécia";-;-;-;1
"240710 Macaíba";2;1;3;4
"240740 Martins";-;3;3;-
"240770 Montanhas";-;-;-;1
