id,ibge,municipio,uf,estado,planos_municipais,destinacao_final,tipo_destinacao,possui_coleta_seletiva,coleta_participa_catadores,possui_catadores_regularizados,realizam_compostagem,participam_consorcio
100111020,110100,GOVERNADOR JORGE TEIXEIRA,RO,Rondônia,Em Elaboração,Em outro Município,Aterro Sanitário,Não,Nulo,Sim,Não,Sim
100111021,110010,GUAJARÁ-MIRIM,RO,Rondônia,Em Elaboração,No próprio Município,Lixão,Não,,Sim,Não,Não
100111023,110011,JARU,RO,Rondônia,Em Elaboração,No próprio Município,Lixão,Não,Nulo,Sim,Não,Não
100111024,110012,JI-PARANÁ,RO,Rondônia,Não Iniciado,No próprio Município,Lixão,Não,,Não,Não,Sim
100111025,110013,MACHADINHO D´OESTE,RO,Rondônia,Não Iniciado,Em outro Município,Aterro Sanitário,Não,Nulo,Não,Não,Sim
100111026,110120,MINISTRO ANDREAZZA,RO,Rondônia,Em Elaboração,Em outro Município,Aterro Sanitário,Sim,Sim,Sim,Não,Sim
100111027,110130,MIRANTE DA SERRA,RO,Rondônia,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100111028,110140,MONTE NEGRO,RO,Rondônia,Finalizado,Em outro Município,Aterro Sanitário,Não,Nulo,Sim,Não,Sim
100111029,110014,NOVA BRASILÂNDIA D´OESTE,RO,Rondônia,Em Elaboração,Em outro Município,Aterro Sanitário,Não,Nulo,Sim,Não,Sim
100111030,110033,NOVA MAMORÉ,RO,Rondônia,Finalizado,No próprio Município,Lixão,Não,Nulo,Sim,Não,Não
100111031,110143,NOVA UNIÃO,RO,Rondônia,Finalizado,No próprio Município,Lixão,Não,Nulo,Não,Não,Sim
100111032,110050,NOVO HORIZONTE DO OESTE,RO,Rondônia,Não Iniciado,Em outro Município,Lixão,Não,Nulo,Não,Não,Sim
100111033,110015,OURO PRETO DO OESTE,RO,Rondônia,Não Iniciado,No próprio Município,Lixão,Não,Nulo,Sim,Não,Sim
100111034,110145,PARECIS,RO,Rondônia,Não Iniciado,Em outro Município,Aterro Sanitário,Não,Nulo,Não,Não,Sim
100111035,110018,PIMENTA BUENO,RO,Rondônia,Finalizado,Em outro Município,Aterro Sanitário,Sim,Sim,Sim,Sim,Sim
100111036,110146,PIMENTEIRAS DO OESTE,RO,Rondônia,Não Iniciado,Em outro Município,Aterro Sanitário,Não,Nulo,Não,Não,Sim
100111037,110020,PORTO VELHO,RO,Rondônia,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100111038,110025,PRESIDENTE MÉDICI,RO,Rondônia,Em Elaboração,Em outro Município,Nulo,Sim,,Não,Não,Sim
100111039,110147,PRIMAVERA DE RONDÔNIA,RO,Rondônia,Em Elaboração,No próprio Município,Aterro Sanitário,Não,Nulo,Não,Não,Sim
100111040,110026,RIO CRESPO,RO,Rondônia,Em Elaboração,Em outro Município,Lixão,Sim,Não,Não,Não,Sim
100111041,110028,ROLIM DE MOURA,RO,Rondônia,Em Elaboração,Em outro Município,Lixão,Sim,Não,Sim,Não,Sim
100111042,110029,SANTA LUZIA D´OESTE,RO,Rondônia,Em Elaboração,No próprio Município,Aterro Sanitário,Não,Nulo,Sim,Não,Sim
100111043,110148,SÃO FELIPE D´OESTE,RO,Rondônia,Finalizado,Em outro Município,Nulo,Sim,,Nulo,Não,Sim
100111044,110149,SÃO FRANCISCO DO GUAPORÉ,RO,Rondônia,Em Elaboração,No próprio Município,Lixão,Sim,Sim,Sim,Sim,Não
100111045,110032,SÃO MIGUEL DO GUAPORÉ,RO,Rondônia,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100111046,110150,SERINGUEIRAS,RO,Rondônia,Em Elaboração,No próprio Município,Lixão,Não,Nulo,Não,Não,Sim
100111047,110155,TEIXEIRÓPOLIS,RO,Rondônia,Em Elaboração,Em outro Município,Aterro Sanitário,Sim,Sim,Sim,Não,Não
100111048,110160,THEOBROMA,RO,Rondônia,Não Iniciado,Em outro Município,Aterro Sanitário,Sim,Não,Sim,Não,Sim
100111049,110170,URUPÁ,RO,Rondônia,Em Elaboração,No próprio Município,Lixão,Não,Nulo,Sim,Não,Sim
100111050,110175,VALE DO ANARI,RO,Rondônia,Em Elaboração,Em outro Município,Aterro Sanitário,Não,Nulo,Não,Não,Sim
100111051,110180,VALE DO PARAÍSO,RO,Rondônia,Não Iniciado,No próprio Município,Lixão,Não,Nulo,Não,Não,Não
100111052,110030,VILHENA,RO,Rondônia,Finalizado,Em outro Município,Aterro Sanitário,Sim,Sim,Sim,Não,Não
100111053,110110,ITAPUÃ DO OESTE,RO,Rondônia,Finalizado,Em outro Município,Nulo,Não,,Não,Não,Sim
100112001,120001,ACRELÂNDIA,AC,Acre,Em Elaboração,No próprio Município,Lixão,Não,Nulo,Não,Não,Não
100112002,120005,ASSIS BRASIL,AC,Acre,Em Elaboração,No próprio Município,Lixão,Não,Nulo,Não,Não,Não
100112003,120010,BRASILÉIA,AC,Acre,Não Iniciado,No próprio Município,Lixão,Sim,Sim,Sim,Não,Não
100112004,120013,BUJARI,AC,Acre,Em Elaboração,Em outro Município,Lixão,Não,Nulo,Não,Não,Não
100112005,120017,CAPIXABA,AC,Acre,Finalizado,No próprio Município,Lixão,Não,Nulo,Não,Não,Não
100112006,120020,CRUZEIRO DO SUL,AC,Acre,Em Elaboração,No próprio Município,Lixão,Não,Nulo,Sim,Não,Não
100112007,120025,EPITACIOLÂNDIA,AC,Acre,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100112008,120030,FEIJÓ,AC,Acre,Não Iniciado,No próprio Município,Lixão,Não,Nulo,Não,Não,Sim
100112009,120032,JORDÃO,AC,Acre,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100112010,120033,MÂNCIO LIMA,AC,Acre,Em Elaboração,No próprio Município,Lixão,Sim,Não,Não,Não,Sim
100112011,120034,MANOEL URBANO,AC,Acre,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100112012,120035,MARECHAL THAUMATURGO,AC,Acre,Não Iniciado,No próprio Município,Lixão,Não,Nulo,Sim,Não,Não
100112013,120038,PLÁCIDO DE CASTRO,AC,Acre,Não soube informar,No próprio Município,Lixão,Não,Nulo,Sim,Não,Não
100112014,120080,PORTO ACRE,AC,Acre,Não Iniciado,No próprio Município,Lixão,Não,,Não,Não,Não
100112015,120039,PORTO WALTER,AC,Acre,Não Iniciado,No próprio Município,Lixão,Não,,Nulo,Não,Não
100112016,120040,RIO BRANCO,AC,Acre,Finalizado,No próprio Município,Aterro Sanitário,Não,Nulo,Sim,Sim,Não
100112017,120042,RODRIGUES ALVES,AC,Acre,Finalizado,No próprio Município,Lixão,Sim,Sim,Sim,Não,Não
100112018,120043,SANTA ROSA DO PURUS,AC,Acre,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100112019,120050,SENA MADUREIRA,AC,Acre,Em Elaboração,No próprio Município,Outro,Não,Nulo,Sim,Não,Não
100112020,120045,SENADOR GUIOMARD,AC,Acre,Não Iniciado,No próprio Município,Lixão,Sim,,Sim,Não,Não
100112021,120060,TARAUACÁ,AC,Acre,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100112022,120070,XAPURI,AC,Acre,Em Elaboração,No próprio Município,Lixão,Não,,Não,Sim,Sim
100113001,130002,ALVARÃES,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113002,130006,AMATURÁ,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113003,130008,ANAMÃ,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113004,130010,ANORI,AM,Amazonas,Finalizado,No próprio Município,Lixão,Não,,Nulo,Não,Não
100113005,130014,APUÍ,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113006,130020,ATALAIA DO NORTE,AM,Amazonas,Não Iniciado,No próprio Município,Lixão,Não,,Nulo,Não,Não
100113007,130030,AUTAZES,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113008,130040,BARCELOS,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113009,130050,BARREIRINHA,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113010,130060,BENJAMIN CONSTANT,AM,Amazonas,Finalizado,No próprio Município,Lixão,Não,,Nulo,Não,Não
100113011,130063,BERURI,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113012,130068,BOA VISTA DO RAMOS,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113013,130070,BOCA DO ACRE,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113014,130080,BORBA,AM,Amazonas,Em Elaboração,No próprio Município,Aterro Sanitário,Sim,Não,Não,Não,Não
100113015,130083,CAAPIRANGA,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113016,130090,CANUTAMA,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113017,130100,CARAUARI,AM,Amazonas,Finalizado,No próprio Município,Lixão,Não,Nulo,Não,Não,Não
100113018,130110,CAREIRO,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113019,130115,CAREIRO DA VÁRZEA,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113020,130120,COARI,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113021,130130,CODAJÁS,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113022,130140,EIRUNEPÉ,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113023,130150,ENVIRA,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113024,130160,FONTE BOA,AM,Amazonas,Não Iniciado,No próprio Município,Lixão,Não,,Nulo,Não,Em processo
100113025,130165,GUAJARÁ,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113026,130170,HUMAITÁ,AM,Amazonas,Em Elaboração,Nulo,Outro,Nulo,Nulo,Nulo,Nulo,Nulo
100113027,130180,IPIXUNA,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113028,130185,IRANDUBA,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113029,130190,ITACOATIARA,AM,Amazonas,Em Elaboração,No próprio Município,Lixão,Não,Nulo,Sim,Sim,Não soube informar
100113030,130195,ITAMARATI,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113031,130200,ITAPIRANGA,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113032,130210,JAPURÁ,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113033,130220,JURUÁ,AM,Amazonas,Em Elaboração,No próprio Município,Lixão,Sim,,Nulo,Não,Sim
100113034,130230,JUTAÍ,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113035,130240,LÁBREA,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113036,130250,MANACAPURU,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113037,130255,MANAQUIRI,AM,Amazonas,Não Iniciado,No próprio Município,Lixão,Sim,Sim,Sim,Não,Não soube informar
100113038,130260,MANAUS,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113039,130270,MANICORÉ,AM,Amazonas,Finalizado,No próprio Município,Lixão,Não,Nulo,Sim,Não,Não
100113040,130280,MARAÃ,AM,Amazonas,Em Elaboração,No próprio Município,Lixão,Não,,Sim,Não,Não
100113041,130290,MAUÉS,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113042,130300,NHAMUNDÁ,AM,Amazonas,Finalizado,No próprio Município,Lixão,Não,,Nulo,Não,Não
100113043,130310,NOVA OLINDA DO NORTE,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113044,130320,NOVO AIRÃO,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113045,130330,NOVO ARIPUANÃ,AM,Amazonas,Finalizado,No próprio Município,Lixão,Sim,,Não,Não,Não
100113046,130340,PARINTINS,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113047,130350,PAUINI,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113048,130353,PRESIDENTE FIGUEIREDO,AM,Amazonas,Finalizado,No próprio Município,Lixão,Não,,Não,Sim,Em processo
100113049,130356,RIO PRETO DA EVA,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113050,130360,SANTA ISABEL DO RIO NEGRO,AM,Amazonas,Não Iniciado,No próprio Município,Aterro Sanitário,Não,,Sim,Não,Não
100113051,130370,SANTO ANTÔNIO DO IÇÁ,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113052,130380,SÃO GABRIEL DA CACHOEIRA,AM,Amazonas,Finalizado,No próprio Município,Lixão,Não,Nulo,Sim,Nulo,Não
100113053,130390,SÃO PAULO DE OLIVENÇA,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113054,130395,SÃO SEBASTIÃO DO UATUMÃ,AM,Amazonas,Não Iniciado,No próprio Município,Lixão,Não,,Não,Não,Nulo
100113055,130400,SILVES,AM,Amazonas,Em Elaboração,No próprio Município,Lixão,Não,,Não,Não,Não
100113056,130406,TABATINGA,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113057,130410,TAPAUÁ,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113058,130420,TEFÉ,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113059,130423,TONANTINS,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113060,130426,UARINI,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113061,130430,URUCARÁ,AM,Amazonas,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100113062,130440,URUCURITUBA,AM,Amazonas,Finalizado,No próprio Município,Lixão,Não,,Não,Não,Não
100114001,140005,ALTO ALEGRE,RR,Roraima,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100114002,140002,AMAJARI,RR,Roraima,Finalizado,No próprio Município,Aterro Sanitário,Não,Nulo,Sim,Sim,Não
100114003,140010,BOA VISTA,RR,Roraima,Finalizado,No próprio Município,Aterro Sanitário,Sim,Não,Sim,Sim,Não soube informar
100114004,140015,BONFIM,RR,Roraima,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100114005,140017,CANTÁ,RR,Roraima,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100114006,140020,CARACARAÍ,RR,Roraima,Finalizado,No próprio Município,Lixão,Não,Nulo,Sim,Não,Não
100114007,140023,CAROEBE,RR,Roraima,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100114008,140028,IRACEMA,RR,Roraima,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100114009,140030,MUCAJAÍ,RR,Roraima,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100114010,140040,NORMANDIA,RR,Roraima,Não Iniciado,No próprio Município,Lixão,Não,Nulo,Não,Não,Não
100114011,140045,PACARAIMA,RR,Roraima,Em Elaboração,No próprio Município,Lixão,Não,Nulo,Não,Não,Não
100114012,140047,RORAINÓPOLIS,RR,Roraima,Finalizado,No próprio Município,Lixão,Não,Nulo,Não,Não,Não
100114013,140050,SÃO JOÃO DA BALIZA,RR,Roraima,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100114014,140060,SÃO LUIZ,RR,Roraima,Em Elaboração,No próprio Município,Lixão,Não,Nulo,Sim,Não,Não
100114015,140070,UIRAMUTÃ,RR,Roraima,Em Elaboração,Em outro Município,Lixão,Sim,Não,Não,Não,Não
100115002,150010,ABAETETUBA,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115003,150013,ABEL FIGUEIREDO,PA,Pará,Em Elaboração,No próprio Município,Lixão,Não,,Não,Não,Não
100115004,150020,ACARÁ,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115005,150030,AFUÁ,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115006,150034,ÁGUA AZUL DO NORTE,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115007,150040,ALENQUER,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115008,150050,ALMEIRIM,PA,Pará,Em Elaboração,No próprio Município,Outro,Não,Nulo,Não,Não,Não
100115009,150060,ALTAMIRA,PA,Pará,Em Elaboração,No próprio Município,Aterro Sanitário,Não,Nulo,Sim,Não,Não
100115010,150070,ANAJÁS,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115011,150080,ANANINDEUA,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115012,150085,ANAPU,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115013,150090,AUGUSTO CORRÊA,PA,Pará,Não Iniciado,Em outro Município,Lixão,Não,Nulo,Não,Não,Sim
100115014,150095,AURORA DO PARÁ,PA,Pará,Finalizado,No próprio Município,Lixão,Não,Nulo,Sim,Não,Não
100115015,150100,AVEIRO,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115016,150110,BAGRE,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115017,150120,BAIÃO,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115018,150125,BANNACH,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115019,150130,BARCARENA,PA,Pará,Finalizado,No próprio Município,Lixão,Sim,Sim,Sim,Não,Não
100115020,150140,BELÉM,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115021,150145,BELTERRA,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115022,150150,BENEVIDES,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115023,150157,BOM JESUS DO TOCANTINS,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115024,150160,BONITO,PA,Pará,Finalizado,No próprio Município,Lixão,Não,,Nulo,Sim,Sim
100115025,150170,BRAGANÇA,PA,Pará,Em Elaboração,No próprio Município,Lixão,Sim,,Sim,Sim,Não
100115026,150172,BRASIL NOVO,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115027,150175,BREJO GRANDE DO ARAGUAIA,PA,Pará,Em Elaboração,No próprio Município,Lixão,Sim,Sim,Sim,Não,Sim
100115028,150178,BREU BRANCO,PA,Pará,Não Iniciado,No próprio Município,Lixão,Não,Nulo,Sim,Não,Não
100115029,150180,BREVES,PA,Pará,Em Elaboração,No próprio Município,Aterro Sanitário,Não,,Sim,Não,Não
100115030,150190,BUJARU,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115031,150200,CACHOEIRA DO ARARI,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115032,150195,CACHOEIRA DO PIRIÁ,PA,Pará,Em Elaboração,No próprio Município,Lixão,Não,,Nulo,Não,Não
100115033,150210,CAMETÁ,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115034,150215,CANAÃ DOS CARAJÁS,PA,Pará,Em Elaboração,No próprio Município,Lixão,Não,,Sim,Não,Não
100115035,150220,CAPANEMA,PA,Pará,Finalizado,No próprio Município,Lixão,Não,Nulo,Sim,Não,Não
100115036,150230,CAPITÃO POÇO,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115037,150240,CASTANHAL,PA,Pará,Em Elaboração,No próprio Município,Lixão,Não,,Sim,Não,Não
100115038,150250,CHAVES,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115039,150260,COLARES,PA,Pará,Em Elaboração,No próprio Município,Lixão,Sim,Sim,Sim,Sim,Não
100115040,150270,CONCEIÇÃO DO ARAGUAIA,PA,Pará,Em Elaboração,No próprio Município,Lixão,Não,,Sim,Não,Não
100115041,150275,CONCÓRDIA DO PARÁ,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115042,150276,CUMARU DO NORTE,PA,Pará,Em Elaboração,No próprio Município,Lixão,Não,,Nulo,Não,Não
100115043,150277,CURIONÓPOLIS,PA,Pará,Em Elaboração,No próprio Município,Lixão,Não,Nulo,Sim,Não,Não
100115044,150280,CURRALINHO,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115045,150285,CURUÁ,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115046,150290,CURUÇÁ,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115047,150293,DOM ELISEU,PA,Pará,Finalizado,No próprio Município,Lixão,Não,,Sim,Não,Não
100115048,150295,ELDORADO DOS CARAJÁS,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115049,150300,FARO,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115050,150304,FLORESTA DO ARAGUAIA,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115051,150307,GARRAFÃO DO NORTE,PA,Pará,Em Elaboração,No próprio Município,Lixão,Não,Nulo,Sim,Não,Sim
100115052,150309,GOIANÉSIA DO PARÁ,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115053,150310,GURUPÁ,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115054,150320,IGARAPÉ-AÇU,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115055,150330,IGARAPÉ-MIRI,PA,Pará,Em Elaboração,No próprio Município,Lixão,Não,Nulo,Sim,Não,Sim
100115056,150340,INHANGAPI,PA,Pará,Em Elaboração,No próprio Município,Lixão,Não,,Não,Não,Não
100115057,150345,IPIXUNA DO PARÁ,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115058,150350,IRITUIA,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115059,150360,ITAITUBA,PA,Pará,Em Elaboração,No próprio Município,Outro,Não,Nulo,Sim,Não,Não
100115060,150370,ITUPIRANGA,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115061,150375,JACAREACANGA,PA,Pará,Não Iniciado,No próprio Município,Lixão,Não,Nulo,Não,Não,Não
100115062,150380,JACUNDÁ,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115063,150390,JURUTI,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115064,150400,LIMOEIRO DO AJURU,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115065,150405,MÃE DO RIO,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115066,150410,MAGALHÃES BARATA,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115067,150420,MARABÁ,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115068,150430,MARACANÃ,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
100115069,150440,MARAPANIM,PA,Pará,Nulo,Nulo,Nulo,Nulo,,Nulo,Nulo,Nulo
